Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
43	-200.0	0.0	-200.0	-200.0	200.0	-57.13087	0.0011658068	-57.127686	-57.133575	176000	-1.4305114e-08	580.695	-0.0007096371	0.0	0.5743164	0.0030095351	0.0	79.0	150.0129852294922
44	-200.0	0.0	-200.0	-200.0	200.0	-57.13097	0.0012169642	-57.127087	-57.133774	180000	2.6226044e-08	580.69824	-0.0014719176	-0.00024414062	0.62654155	0.0034646178	0.06875	79.0	153.82425618171692
45	-200.0	0.0	-200.0	-200.0	200.0	-57.13074	0.00117604	-57.125565	-57.13408	184000	2.9087067e-08	580.6934	-0.0025266723	-6.1035156e-05	0.62017894	0.0034588308	0.0	79.0	157.3303849697113
46	-200.0	0.0	-200.0	-200.0	200.0	-57.131187	0.001243072	-57.127705	-57.134365	188000	9.536743e-09	580.69324	-0.0015571099	0.00012207031	0.5395427	0.0034089617	0.15575	79.0	160.6051995754242
47	-200.0	0.0	-200.0	-200.0	200.0	-57.131527	0.0011953849	-57.128147	-57.134163	192000	7.629395e-09	580.697	-0.000883708	-0.00012207031	0.46504176	0.001932379	0.071	79.0	163.97900867462158
48	-200.0	0.0	-200.0	-200.0	200.0	-57.131294	0.0009431566	-57.128025	-57.134056	196000	1.0967255e-08	580.69336	-0.0009092221	-0.00018310547	0.46192327	0.0033430795	0.0	79.0	167.317134141922
49	-200.0	0.0	-200.0	-200.0	200.0	-57.131462	0.0011875657	-57.127724	-57.134697	200000	3.051758e-08	580.6949	-0.0015522704	0.0	0.44816574	0.0008971298	0.0	79.0	170.7114667892456
50	-200.0	0.0	-200.0	-200.0	200.0	-57.131413	0.0010918098	-57.127693	-57.134026	204000	-2.861023e-09	580.69464	-0.0024541074	-0.00012207031	0.44433716	0.0023300154	0.05425	79.0	174.53114128112793
51	-200.0	0.0	-200.0	-200.0	200.0	-57.13147	0.0010495083	-57.127914	-57.134293	208000	9.059906e-09	580.69464	-0.0002885785	-0.00012207031	0.37968537	0.001345661	0.0	79.0	177.86031126976013
52	-200.0	0.0	-200.0	-200.0	200.0	-57.13163	0.0010681325	-57.12799	-57.134514	212000	-3.051758e-08	580.694	-0.0016130361	-0.00012207031	0.41927516	0.0017532904	0.10875	79.0	181.3645339012146
53	-200.0	0.0	-200.0	-200.0	200.0	-57.13161	0.00097352365	-57.128136	-57.134373	216000	1.3828277e-08	580.69305	-0.0005177851	6.1035156e-05	0.42052948	0.0027408025	0.0	79.0	184.68429136276245
54	-200.0	0.0	-200.0	-200.0	200.0	-57.131794	0.0009158194	-57.12882	-57.134396	220000	1.0490417e-08	580.6954	-0.0008634205	-0.00012207031	0.4027198	0.003728418	0.0	79.0	188.09558057785034
55	-200.0	0.0	-200.0	-200.0	200.0	-57.131424	0.0010366932	-57.127308	-57.134735	224000	-1.1444092e-08	580.6958	-0.00023260165	6.1035156e-05	0.33103612	0.00091134704	0.0	79.0	191.40489649772644
56	-200.0	0.0	-200.0	-200.0	200.0	-57.1313	0.0007679633	-57.12875	-57.133625	228000	-7.629395e-09	580.69385	-0.0006513915	-0.00024414062	0.32014495	-1.4255047e-05	0.0	79.0	194.665913105011
57	-200.0	0.0	-200.0	-200.0	200.0	-57.13171	0.00093208667	-57.128666	-57.134163	232000	-8.106232e-09	580.69476	-0.00073824835	-0.00024414062	0.35523266	0.0014580619	0.0	79.0	198.01512336730957
58	-200.0	0.0	-200.0	-200.0	200.0	-57.131695	0.0010605154	-57.127342	-57.13525	236000	2.3841857e-09	580.6956	-0.0005026379	6.1035156e-05	0.35140467	0.0013940554	0.0	79.0	201.58842778205872
59	-200.0	0.0	-200.0	-200.0	200.0	-57.131565	0.0008200433	-57.129196	-57.133522	240000	8.106232e-09	580.693	-0.00069445564	0.00012207031	0.31165808	0.0012244679	0.03075	79.0	204.95711398124695
60	-200.0	0.0	-200.0	-200.0	200.0	-57.13188	0.0009078879	-57.128937	-57.13429	244000	2.2888184e-08	580.695	-0.00049998664	-0.00012207031	0.31658843	0.0006246485	0.0	79.0	208.50080633163452
61	-200.0	0.0	-200.0	-200.0	200.0	-57.131706	0.0010483235	-57.12852	-57.13453	248000	-2.2411346e-08	580.69275	-0.0010201106	-0.00012207031	0.29686207	0.0007589266	0.07	79.0	211.91007947921753
62	-200.0	0.0	-200.0	-200.0	200.0	-57.13226	0.0008631935	-57.12897	-57.135033	252000	1.0490417e-08	580.6929	-0.0005752101	-6.1035156e-05	0.25347158	0.0014082281	0.0	79.0	215.37606573104858
63	-200.0	0.0	-200.0	-200.0	200.0	-57.132137	0.00090981193	-57.12936	-57.13452	256000	1.4305115e-09	580.69385	-0.0024894509	-0.00012207031	0.319049	0.0034766868	0.05875	79.0	218.92402935028076
64	-200.0	0.0	-200.0	-200.0	200.0	-57.132072	0.0009299502	-57.129044	-57.134525	260000	2.1457673e-08	580.6931	-0.001799922	-6.1035156e-05	0.2931282	0.00028473846	0.0	79.0	222.41621351242065
65	-200.0	0.0	-200.0	-200.0	200.0	-57.132034	0.0010740994	-57.128757	-57.134842	264000	-1.7166137e-08	580.6967	-0.0008729882	-0.00036621094	0.3407566	-0.000119514196	0.05075	79.0	225.85494303703308
66	-200.0	0.0	-200.0	-200.0	200.0	-57.131805	0.00084805145	-57.128807	-57.13419	268000	0.0	580.693	-0.00022375154	-0.00012207031	0.37135702	0.001012237	0.038	79.0	229.25843572616577
67	-200.0	0.0	-200.0	-200.0	200.0	-57.13224	0.00095465797	-57.12886	-57.1347	272000	2.336502e-08	580.69556	-0.00056677865	-0.00024414062	0.43173426	0.0032551773	0.0	79.0	232.63675475120544
68	-200.0	0.0	-200.0	-200.0	200.0	-57.131805	0.00096895435	-57.129105	-57.134235	276000	1.8119811e-08	580.6926	-0.0004748645	-0.00024414062	0.36786848	0.00364119	0.0445	79.0	235.9651234149933
69	-200.0	0.0	-200.0	-200.0	200.0	-57.132187	0.00094254815	-57.12943	-57.134663	280000	2.6702882e-08	580.6945	-0.0016401028	-0.00012207031	0.447809	0.0028130766	0.0	79.0	239.35480880737305
70	-200.0	0.0	-200.0	-200.0	200.0	-57.131374	0.00087592704	-57.128075	-57.13394	284000	-1.2397766e-08	580.69305	-0.00073021365	0.00012207031	0.38614944	0.0013716089	0.0	79.0	242.93681526184082
71	-200.0	0.0	-200.0	-200.0	200.0	-57.132256	0.0010789274	-57.128788	-57.134983	288000	-7.629395e-09	580.6937	-0.0013890042	-0.00018310547	0.40375227	0.0019264972	0.0565	79.0	246.31617975234985
72	-200.0	0.0	-200.0	-200.0	200.0	-57.13215	0.00088680955	-57.129543	-57.1344	292000	3.8146974e-09	580.69214	-0.0013033586	0.0	0.4201578	0.0026712134	0.04625	79.0	249.64465522766113
73	-200.0	0.0	-200.0	-200.0	200.0	-57.13252	0.00069993193	-57.130524	-57.13443	296000	8.106232e-09	580.69226	-0.000766561	0.00012207031	0.41515243	0.0019702418	0.052	79.0	252.91981983184814
74	-200.0	0.0	-200.0	-200.0	200.0	-57.132446	0.0008080012	-57.12943	-57.13478	300000	1.3351441e-08	580.69275	-0.0011132746	0.00012207031	0.37269843	0.0027925682	0.0	79.0	256.23287773132324
75	-200.0	0.0	-200.0	-200.0	200.0	-57.13206	0.0010173823	-57.129063	-57.134674	304000	-2.0503998e-08	580.694	-0.00067213393	-0.00012207031	0.34441003	0.0006869247	0.0305	79.0	259.69111490249634
76	-200.0	0.0	-200.0	-200.0	200.0	-57.13229	0.0009923843	-57.12945	-57.13483	308000	1.9073486e-08	580.69226	-0.00015848303	-0.00012207031	0.31301448	0.0007165933	0.0	79.0	263.10575222969055
77	-200.0	0.0	-200.0	-200.0	200.0	-57.13269	0.0010229365	-57.12903	-57.135593	312000	-1.4781952e-08	580.69324	-0.0013941188	-0.00018310547	0.32392275	0.0010173656	0.04375	79.0	266.4564278125763
78	-200.0	0.0	-200.0	-200.0	200.0	-57.13247	0.00095426507	-57.129715	-57.134926	316000	2.0980835e-08	580.6911	-0.001051168	-0.00030517578	0.2902621	-0.00023180022	0.02325	79.0	269.7946331501007
79	-200.0	0.0	-200.0	-200.0	200.0	-57.133156	0.001028267	-57.129604	-57.13615	320000	-2.5749207e-08	580.69275	-0.00083992386	0.0	0.28205648	0.0020567928	0.0	79.0	273.1553645133972
80	-200.0	0.0	-200.0	-200.0	200.0	-57.13192	0.0009605234	-57.12856	-57.134747	324000	-1.9073487e-09	580.69275	-0.00055073114	-0.00036621094	0.25336054	0.00010148062	0.0	79.0	276.77033710479736
81	-200.0	0.0	-200.0	-200.0	200.0	-57.13275	0.0011229899	-57.129257	-57.135612	328000	3.33786e-08	580.69336	-0.0005862431	-0.00024414062	0.28868377	-0.0005054692	0.0	79.0	280.1574070453644
82	-200.0	0.0	-200.0	-200.0	200.0	-57.132378	0.0010907933	-57.128647	-57.1357	332000	-1.3351441e-08	580.6923	-0.00068725494	-6.1035156e-05	0.30105463	0.0022351206	0.01975	79.0	283.5018353462219
83	-200.0	0.0	-200.0	-200.0	200.0	-57.132782	0.0011910025	-57.128685	-57.136177	336000	4.2915342e-09	580.69226	-0.00082396506	-0.00030517578	0.3196397	0.0017868746	0.043	79.0	286.85457611083984
84	-200.0	0.0	-200.0	-200.0	200.0	-57.132736	0.0011707183	-57.129257	-57.135986	340000	-5.722046e-09	580.6912	-0.00092536735	-0.00048828125	0.3121317	0.0040941495	0.0	79.0	290.34437084198
