Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
41	-45.0	15.0	0.0	-50.0	50.0	-19.31244	10.966912	2.3744595	-43.2462	168000	1.9550324e-08	42.813343	-0.030648217	-14.127359	1.348221	0.009926847	0.15525	79.0	437.2246313095093
42	-46.875	12.103073	0.0	-50.0	50.0	-19.187094	10.527647	5.487542	-43.68642	172000	9.536743e-09	36.375484	-0.028288744	-12.836571	1.3357493	0.014864618	0.15675	60.0	447.2438209056854
43	-45.625	14.128318	0.0	-50.0	50.0	-20.357758	10.917488	3.79807	-43.677055	176000	1.1444092e-08	37.49027	-0.030667273	-11.446632	1.2896616	0.013647556	0.15825	79.0	457.4578447341919
44	-47.5	10.897247	0.0	-50.0	50.0	-20.297537	11.198158	3.4337332	-43.708603	180000	-1.3351441e-08	24.462696	-0.028613761	-7.6497326	1.2574128	0.01070693	0.15425	79.0	467.50197768211365
45	-48.125	9.499178	0.0	-50.0	50.0	-20.263117	11.050308	1.913357	-43.8469	184000	3.8146974e-09	17.60189	-0.004495314	-5.5396852	1.1707822	0.022474308	0.25325	3.0	477.2441232204437
46	-46.875	12.103073	0.0	-50.0	50.0	-20.652702	11.043258	2.3308237	-43.74061	188000	2.1457671e-09	29.78046	-0.026648177	-8.553068	1.2143601	0.007718568	0.11225	79.0	487.42668104171753
47	-47.5	10.897247	0.0	-50.0	50.0	-20.484936	11.064762	6.78967	-43.488983	192000	-2.861023e-09	23.636417	-0.031142522	-6.632015	1.2106814	0.011241327	0.16025	79.0	497.68693685531616
48	-43.75	16.535946	0.0	-50.0	50.0	-19.734858	11.556078	10.607858	-42.25977	196000	5.00679e-09	52.99	-0.034736026	-30.924976	1.1657207	0.015036932	0.15325	79.0	507.66552114486694
49	-46.875	12.103073	0.0	-50.0	50.0	-19.946642	10.982029	3.6881976	-41.881165	200000	-1.8119811e-08	16.794418	-0.03208306	-6.5486355	1.1457659	0.0088449465	0.15775	79.0	517.5685772895813
50	-49.375	5.5551214	0.0	-50.0	50.0	-19.861324	11.236316	6.23187	-42.272903	204000	3.2901763e-08	27.690166	-0.031434607	-18.296267	1.122467	0.008139852	0.159	79.0	527.8830823898315
51	-44.375	15.799031	0.0	-50.0	50.0	-21.010618	11.334934	2.3447413	-41.00946	208000	4.053116e-09	55.634346	-0.027451077	-38.415993	1.0241458	0.015389115	0.1535	51.0	537.6422207355499
52	-46.875	12.103073	0.0	-50.0	50.0	-19.520058	11.123496	4.616787	-42.316696	212000	3.6239623e-08	31.030678	-0.030877693	-20.427044	1.0152142	0.00828199	0.13325	79.0	547.6440665721893
53	-47.5	10.897247	0.0	-50.0	50.0	-19.714886	11.017784	3.2141795	-41.388844	216000	-3.8146974e-09	28.418722	-0.02888363	-18.109852	1.0058285	0.010162169	0.14275	79.0	557.495735168457
