Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
52	-45.0	15.0	0.0	-50.0	50.0	-20.183176	10.323308	-1.9453971	-36.38482	212000	-2.0503998e-08	56.449017	-0.0058887517	-2.8147964	1.769632	0.0054546823	0.05525	79.0	536.9305894374847
53	-46.25	13.169567	0.0	-50.0	50.0	-19.291567	10.369375	0.4342189	-36.190666	216000	7.629395e-09	46.416656	-0.0047810655	-2.212185	1.7665147	0.00748045	0.058	79.0	546.7983846664429
54	-46.875	12.103073	0.0	-50.0	50.0	-19.966618	10.515798	-1.4013132	-36.4977	220000	1.859665e-08	36.759144	-0.004896245	-0.60354614	1.7555792	0.0050430694	0.06275	79.0	556.5606803894043
55	-46.875	12.103073	0.0	-50.0	50.0	-20.205297	10.542235	-0.26752627	-37.01277	224000	5.2452087e-09	39.267384	-0.004647021	-1.5802879	1.7570102	0.0047345236	0.042	79.0	566.3768138885498
56	-46.875	12.103073	0.0	-50.0	50.0	-20.451336	10.568419	-0.67694336	-36.7718	228000	-1.4305114e-08	36.71491	-0.00298757	-0.18673706	1.7872871	0.010697145	0.131	4.0	575.8005940914154
57	-46.25	13.169567	0.0	-50.0	50.0	-20.242937	10.554609	-1.06061	-36.773933	232000	-7.390976e-09	43.995712	-0.0068516145	-0.1864357	1.7334865	0.0046833404	0.06875	79.0	585.7780978679657
58	-46.25	13.169567	0.0	-50.0	50.0	-19.99921	10.490221	-1.5018616	-36.46424	236000	7.390976e-09	43.966927	-0.0034967298	-1.4956741	1.7080905	0.0042997934	0.036	79.0	595.5506017208099
59	-46.25	13.169567	0.0	-50.0	50.0	-20.077337	10.371679	0.17693889	-36.753735	240000	1.4305115e-09	42.811344	-0.0043023485	-0.19122696	1.6402106	0.003235453	0.0435	79.0	605.3479595184326
60	-46.25	13.169567	0.0	-50.0	50.0	-20.044176	10.49222	0.14870834	-36.79591	244000	-9.298325e-09	42.935635	-0.0019331116	-0.4546051	1.6883172	0.019003112	0.245	3.0	615.106992483139
61	-43.75	16.535946	0.0	-50.0	50.0	-19.869371	10.549228	0.5945006	-36.758686	248000	-1.859665e-08	69.33227	-0.0055237575	-1.8510666	1.6411592	0.0052000466	0.04775	79.0	624.9709389209747
62	-46.7375	12.129244	0.0	-50.0	50.0	-18.841543	10.018894	0.011338145	-35.072662	252000	1.66893e-08	40.683964	-0.0051772087	-2.8975372	1.6398764	0.0056127016	0.058	79.0	634.7779512405396
63	-46.875	12.103073	0.0	-50.0	50.0	-20.387419	10.493841	-0.93175924	-36.480415	256000	5.722046e-09	36.91246	-0.006100764	-0.10732651	1.6474848	0.0105329165	0.066	79.0	644.5931360721588
64	-48.125	9.499178	0.0	-50.0	50.0	-20.10861	10.768256	-0.9566158	-36.77634	260000	2.4795533e-08	24.157398	-0.0060927463	-0.86304665	1.5956568	0.0064094774	0.084	79.0	654.3093593120575
65	-46.25	13.169567	0.0	-50.0	50.0	-20.92733	10.757574	-1.1272718	-37.46576	264000	1.1920929e-08	43.24949	-0.005014413	-1.0379486	1.5031289	0.0059231613	0.05475	79.0	664.2364046573639
66	-46.875	12.103073	0.0	-50.0	50.0	-20.125652	10.354847	0.20724764	-37.08309	268000	2.3841857e-09	36.61122	-0.004732851	-0.53985596	1.4473355	0.0047207684	0.05325	79.0	673.8991508483887
67	-46.875	12.103073	0.0	-50.0	50.0	-20.527115	10.474394	-0.22816832	-37.41975	272000	-5.2452087e-09	36.622242	-0.005200616	-0.7597122	1.4318132	0.0046283673	0.057	79.0	683.6888422966003
68	-45.625	14.128318	0.0	-50.0	50.0	-20.003109	10.9251	1.2383788	-37.32436	276000	1.4185906e-08	51.07712	-0.006297593	-1.3899422	1.436184	0.0035878313	0.0685	79.0	693.3877696990967
69	-48.125	9.499178	0.0	-50.0	50.0	-19.928802	10.24721	-0.4019342	-36.641895	280000	4.2915342e-09	24.354603	-0.0033506474	-1.7267838	1.394834	0.009049879	0.085	4.0	702.6516962051392
70	-46.25	13.169567	0.0	-50.0	50.0	-20.723366	10.891108	-0.08211252	-37.827877	284000	-1.3351441e-08	43.133556	-0.008854029	-0.8597832	1.3866363	0.0066366876	0.08625	79.0	712.6445593833923
71	-48.75	7.8062477	0.0	-50.0	50.0	-20.00783	10.606159	0.3820061	-37.172497	288000	2.1457673e-08	17.736925	-0.0069786035	-1.8386736	1.3230172	0.008185565	0.1005	79.0	722.3686416149139
72	-46.25	13.169567	0.0	-50.0	50.0	-21.040562	11.1256895	0.35489988	-38.282623	292000	1.4305115e-09	44.39574	-0.0007400358	-1.5283661	1.2050265	0.0209481	0.219	3.0	731.7331268787384
73	-43.75	16.535946	0.0	-50.0	50.0	-20.245554	10.235307	-0.78076315	-37.26766	296000	8.881092e-09	69.22669	-0.006519465	-2.2173767	1.2128081	0.0059902403	0.05325	79.0	741.3439936637878
74	-46.875	12.103073	0.0	-50.0	50.0	-19.137775	9.804051	-0.022442639	-35.576126	300000	-1.001358e-08	38.675396	-0.002620399	-2.6680183	1.2068853	0.0162282	0.1585	3.0	750.6519641876221
75	-47.5	10.897247	0.0	-50.0	50.0	-20.157547	10.739098	0.034773797	-37.107224	304000	-2.3841858e-08	30.128586	-0.004356234	-0.67403793	1.1499734	0.004542274	0.0365	79.0	760.5032534599304
76	-46.875	12.103073	0.0	-50.0	50.0	-20.69172	10.765181	0.06123638	-37.659138	308000	-1.001358e-08	37.354374	-0.005876335	-0.8557663	1.17476	0.0058250683	0.065	79.0	770.1318547725677
77	-48.125	9.499178	0.0	-50.0	50.0	-20.376137	10.57108	-0.6331011	-37.273838	312000	1.2397766e-08	24.189497	-0.005776537	-0.8987026	1.1882241	0.006118168	0.0775	79.0	779.647789478302
78	-45.0	15.0	0.0	-50.0	50.0	-20.888195	10.914025	-0.85330665	-37.988655	316000	-2.7418137e-08	57.955727	-0.005784033	-2.6356544	1.1494896	0.0022694112	0.0505	79.0	789.3487281799316
79	-47.5	10.897247	0.0	-50.0	50.0	-19.375948	10.355869	-0.5353579	-36.6316	320000	4.4107438e-09	31.840975	-0.0054429267	-2.127674	1.114052	0.0049838084	0.06975	79.0	799.1059663295746
80	-45.625	14.128318	0.0	-50.0	50.0	-20.878138	10.465598	-1.4521533	-37.981888	324000	-2.1457671e-09	50.73913	-0.0053650937	-1.3949814	1.1832618	0.007865062	0.06025	79.0	809.1674680709839
81	-46.875	12.103073	0.0	-50.0	50.0	-19.874912	10.310126	-0.70031667	-36.807854	328000	1.7762185e-08	36.22971	-0.005431922	-0.62599945	1.1221265	0.003472613	0.03825	79.0	819.0744886398315
82	-47.5	10.897247	0.0	-50.0	50.0	-20.402163	10.599723	-0.76750076	-37.778805	332000	-2.861023e-09	28.982183	-0.008226129	-0.4722023	1.129679	0.007928354	0.1125	79.0	828.7191808223724
83	-47.5	10.897247	0.0	-50.0	50.0	-20.529076	10.928976	0.9043481	-38.266167	336000	1.6212464e-08	30.53157	-0.007062494	-0.90304375	1.0483292	0.006478774	0.075	79.0	838.2683417797089
84	-46.875	12.103073	0.0	-50.0	50.0	-20.462166	10.958352	0.61326694	-38.1691	340000	-8.5830685e-09	36.334476	-0.007340695	-0.39232254	1.0168474	0.007215911	0.07225	79.0	847.7349636554718
85	-46.25	13.169567	0.0	-50.0	50.0	-20.357798	10.668295	-0.9698506	-37.823532	344000	-1.3232231e-08	43.05688	-0.006468736	-1.6044693	0.9739403	0.006256765	0.07225	79.0	857.5341958999634
86	-43.75	16.535946	0.0	-50.0	50.0	-20.015633	10.573084	-0.37104815	-37.430073	348000	-1.2159347e-08	67.90786	-0.0075964606	-1.7341537	0.9787996	0.007818714	0.08275	79.0	867.1498830318451
87	-47.5	10.897247	0.0	-50.0	50.0	-18.88216	10.00231	-0.3923514	-36.075768	352000	-4.1246413e-08	34.63836	-0.0025513088	-4.904642	0.8735051	0.016521398	0.2375	3.0	876.4137015342712
88	-46.25	13.169567	0.0	-50.0	50.0	-20.743074	10.576075	-0.93932843	-37.916542	356000	-2.3841857e-09	42.996655	-0.005541222	-0.6184578	0.90945446	0.0031323961	0.04575	79.0	886.0995764732361
89	-45.0	15.0	0.0	-50.0	50.0	-20.058361	10.5266905	-0.5673708	-37.492043	360000	2.7775764e-08	55.087433	-0.0043474957	-0.9738312	0.87751305	0.0043563917	0.04275	79.0	895.8204863071442
90	-46.25	13.169567	0.0	-50.0	50.0	-19.748442	10.099976	-0.70025456	-36.84315	364000	-7.7486035e-09	42.6065	-0.0053863972	-0.60505295	0.91271156	0.0067867995	0.0585	79.0	905.9602949619293
91	-48.125	9.499178	0.0	-50.0	50.0	-19.966816	10.533049	0.2132644	-37.35885	368000	-2.0980835e-08	24.3527	-0.0049734972	-1.4692726	0.94492126	0.0050583687	0.039	79.0	915.6574032306671
92	-47.5	10.897247	0.0	-50.0	50.0	-20.999132	10.810238	-0.5891223	-38.078896	372000	-5.00679e-09	29.390875	-0.007930167	-0.1981678	0.87874377	0.0062065083	0.065	79.0	925.3608028888702
93	-44.375	15.799031	0.0	-50.0	50.0	-20.550028	10.841955	-0.36906523	-37.85179	376000	-9.417534e-09	63.571083	-0.0073373835	-3.1545525	0.8685327	0.00699444	0.087	79.0	935.5236413478851
94	-48.75	7.8062477	0.0	-50.0	50.0	-19.35927	10.051381	-0.7246834	-36.571968	380000	4.529953e-08	19.747698	-0.0073651937	-4.5716763	0.81046134	0.0068019554	0.08975	79.0	945.3888595104218
95	-45.0	15.0	0.0	-50.0	50.0	-21.16041	11.036506	-0.8155019	-38.593674	384000	-2.0742416e-08	58.39069	-0.005404816	-3.562313	0.7126655	0.0031841064	0.04125	79.0	955.2316854000092
96	-46.875	12.103073	0.0	-50.0	50.0	-19.62415	10.096777	-0.784621	-36.57841	388000	-5.00679e-09	37.260765	-0.006901297	-1.2401924	0.703245	0.005693796	0.065	79.0	965.0083813667297
97	-46.25	13.169567	0.0	-50.0	50.0	-20.360012	10.665883	0.19336951	-37.475697	392000	4.7683717e-08	44.407238	-0.006284007	-1.1613007	0.7042153	0.0025215256	0.047	79.0	974.7743096351624
98	-48.125	9.499178	0.0	-50.0	50.0	-20.255672	10.380174	1.0213499	-36.762173	396000	1.2397766e-08	23.112476	-0.005374711	-0.89831924	0.74590987	0.008171251	0.08525	79.0	984.5109150409698
99	-43.75	16.535946	0.0	-50.0	50.0	-20.879622	10.912058	0.34562814	-37.806534	400000	2.3007393e-08	71.62267	-0.005072518	-4.6111603	0.64076126	0.003336101	0.0325	79.0	994.6002836227417
